Link,Barrio,Ambientes,Baño,m2,$
https://www.properati.com.ar/detalle/14032-32-10c7-ac2733656e2b-493f3dc5-b981-3b27,Palermo,1,1,30,16000
https://www.properati.com.ar/detalle/14032-32-8836-656a603d1ec-8f2892b5-a117-3da2,Palermo,1,1,67,21500
https://www.properati.com.ar/detalle/14032-32-41cb-5355b4be4d96-bf28fa1b-a5ab-3ed7,Palermo,1,1,28,65000
https://www.properati.com.ar/detalle/14032-32-96a5-8a8c553666d7-668db1a6-9b2f-314f,Palermo,1,1,46,65000
https://www.properati.com.ar/detalle/14032-32-6067-de2cacb2f69d-48b888fa-96b5-3718,Palermo,2,1,72,80000
https://www.properati.com.ar/detalle/14032-32-2bd2-97ae90db3140-c90db461-b10e-3b04,Palermo,1,1,33,85000
https://www.properati.com.ar/detalle/14032-32-873a-b56c59989c91-4b588c84-beea-32f2,Palermo,1,1,32,100000
https://www.properati.com.ar/detalle/14032-32-3e2d-fa4b8b5eb96f-7345a76e-8ded-3a2d,Palermo,1,1,47,110000
https://www.properati.com.ar/detalle/14032-32-f804-dd867a310d77-f09277e6-baf4-31e4,Palermo,2,1,55,120000
https://www.properati.com.ar/detalle/14032-32-e123-cce3fd0c7bcb-e658ee65-86fb-366a,Palermo,1,1,45,140000
https://www.properati.com.ar/detalle/14032-32-fd18-95178649efe0-1e373dee-a23e-3135,Palermo,1,1,41,160000
https://www.properati.com.ar/detalle/14032-32-24e8-7d63c59f6718-e55acbff-b2d8-3acd,Palermo,3,2,90,170000
https://www.properati.com.ar/detalle/14032-32-f19e-b608870205a1-52a508ce-aa1a-4006,Palermo,2,2,77,170000
https://www.properati.com.ar/detalle/14032-32-2846-206b5849947e-1d0a4e6-8f19-32a4,Palermo,2,1,80,170000
https://www.properati.com.ar/detalle/14032-32-57b8-d039a299d1ec-7055ff0c-9218-372d,Palermo,1,1,37,180000
https://www.properati.com.ar/detalle/14032-32-b9f6-f28166830226-2fee6524-af98-363e,Palermo,1,1,40,180000
https://www.properati.com.ar/detalle/14032-32-e555-ad06b90fe47e-15eb78a4-bce8-3eb6,Palermo,2,2,70,180000
https://www.properati.com.ar/detalle/14032-32-bd78-360a47ff90cd-b1f8025-9dac-3bd6,Palermo,3,3,149,180000
https://www.properati.com.ar/detalle/14032-32-b962-10cb2d3144bf-2deb6bff-b5b8-3a82,Palermo,1,1,54,185000
https://www.properati.com.ar/detalle/14032-32-6cc6-b3f574d9e882-9d2fd8a8-99bd-3a58,Palermo,1,1,51,190000
https://www.properati.com.ar/detalle/14032-32-c3d0-bac7ca0f7e3b-63b5d8e5-a227-351d,Palermo,1,2,70,190000
https://www.properati.com.ar/detalle/14032-32-adf7-324a45504dae-1e220fc-bd7b-3209,Palermo,2,1,70,195000
https://www.properati.com.ar/detalle/14032-32-f5da-56b78a2b1309-8ef7b806-8682-31b3,Palermo,1,1,56,200000
https://www.properati.com.ar/detalle/14032-32-c6f5-d691b7ee7c27-1a7f322a-a487-35e5,Palermo,3,1,91,200000
https://www.properati.com.ar/detalle/14032-32-a224-ea280c773319-8d81fa96-9317-3659,Palermo,3,1,320,210000
https://www.properati.com.ar/detalle/14032-32-a35-d05d2f33c025-993d7bca-b0d5-3282,Palermo,1,1,40,220000
https://www.properati.com.ar/detalle/14032-32-34fd-99f628ddee62-7bb8b733-ae44-38c8,Palermo,1,1,42,220000
https://www.properati.com.ar/detalle/14032-32-267e-2bbee018a81f-b661a4e5-990a-3051,Palermo,4,2,91,230000
https://www.properati.com.ar/detalle/14032-32-56d0-4e4dac74bd5a-381e12-b6be-372d,Palermo,2,1,51,230000
https://www.properati.com.ar/detalle/14032-32-923a-6309954e429b-1db7c6f2-8ef9-390a,Palermo,1,1,50,245000
https://www.properati.com.ar/detalle/14032-32-b569-b99630bda937-f26720c7-8936-39cd,Palermo,1,1,57,250000
https://www.properati.com.ar/detalle/14032-32-a35-9db4de63e6ac-abdbfa47-b687-30b0,Palermo,3,2,233,280000
https://www.properati.com.ar/detalle/14032-32-6d99-6da86349dba3-a1f059d2-af11-319c,Palermo,1,1,40,280000
https://www.properati.com.ar/detalle/14032-32-37f3-b0aea60b77dd-28bce3c9-bcda-3806,Palermo,2,1,151,280000
https://www.properati.com.ar/detalle/14032-32-d21c-eb9a9f96cdae-bbc9874c-9375-3ec6,Palermo,1,1,60,300000
https://www.properati.com.ar/detalle/14032-32-a812-97f391a6c897-ac477bac-b749-3085,Palermo,3,2,100,300000
https://www.properati.com.ar/detalle/14032-32-444e-2e2a5e19974b-16eaac72-9d51-34c8,Palermo,1,2,55,320000
